Year;Tunisia;United Arab Emirates
2000;0.32;Tunisia
2001;0.32;Tunisia
2002;0.32;Tunisia
2003;0.32;Tunisia
2004;0.32;Tunisia
2005;0.32;Tunisia
2006;0.32;Tunisia
2007;0.32;Tunisia
2008;0.32;Tunisia
2009;0.32;Tunisia
2010;0.31;Tunisia
2011;0.78;Tunisia
2012;0.8;Tunisia
2013;0.77;Tunisia
2014;0.76;Tunisia
2015;0.79;Tunisia
2016;0.8;Tunisia
2017;0.82;Tunisia
2018;0.8;Tunisia
2019;0.79;Tunisia
2020;0.8;Tunisia
2000;0.38;United Arab Emirates
2001;0.38;United Arab Emirates
2002;0.38;United Arab Emirates
2003;0.38;United Arab Emirates
2004;0.37;United Arab Emirates
2005;0.38;United Arab Emirates
2006;0.38;United Arab Emirates
2007;0.39;United Arab Emirates
2008;0.39;United Arab Emirates
2009;0.4;United Arab Emirates
2010;0.41;United Arab Emirates
2011;0.36;United Arab Emirates
2012;0.39;United Arab Emirates
2013;0.39;United Arab Emirates
2014;0.4;United Arab Emirates
2015;0.41;United Arab Emirates
2016;0.42;United Arab Emirates
2017;0.41;United Arab Emirates
2018;0.41;United Arab Emirates
2019;0.39;United Arab Emirates
2020;0.39;United Arab Emirates
